    x	        Bx	    Bxperc	        By	    Byperc	     Bprod	    Bprodp	      Bmax	     Bmaxp
  775	    0.0031	    3.2419	    0.0545	   -0.9074	    0.0546	   -0.7475	    0.0546	   -0.7475
  780	    0.0030	    1.2708	    0.0538	   -0.3593	    0.0539	   -0.2006	    0.0539	   -0.2006
  785	    0.0030	   -0.6504	    0.0531	    0.2344	    0.0532	    0.3920	    0.0532	    0.3920
  790	    0.0029	   -2.5233	    0.0525	    0.8757	    0.0525	   -0.8740	    0.0525	   -0.8740
  795	    0.0029	   -4.3495	    0.0518	   -0.3865	    0.0519	   -0.2338	    0.0519	   -0.2338
  800	    0.0028	   -6.1303	    0.0512	    0.3038	    0.0512	    0.4556	    0.0512	    0.4556
  805	    0.0028	   -7.8672	    0.0505	   -0.9358	    0.0506	   -0.7877	    0.0506	   -0.7877
  810	    0.0027	   -9.5616	    0.0499	   -0.1956	    0.0500	   -0.0482	    0.0500	   -0.0482
  815	    0.0027	  -11.2146	    0.0493	    0.5980	    0.0494	    0.7448	    0.0494	    0.7448
  820	    0.0026	  -12.8276	    0.0487	   -0.6226	    0.0488	   -0.4793	    0.0488	   -0.4793
  825	    0.0026	  -14.4018	    0.0481	    0.2243	    0.0482	    0.3670	    0.0482	    0.3670
  830	    0.0025	  -15.9383	    0.0475	   -0.9772	    0.0476	   -0.8379	    0.0476	   -0.8379
  835	    0.0025	   23.8425	    0.0470	   -0.0755	    0.0470	    0.0633	    0.0470	    0.0633
  840	    0.0024	   21.6458	    0.0464	    0.8873	    0.0465	    1.0258	    0.0465	    1.0258
  845	    0.0024	   19.5007	    0.0459	   -0.3009	    0.0459	   -0.1656	    0.0459	   -0.1656
  850	    0.0023	   17.4057	    0.0453	    0.7214	    0.0454	    0.8565	    0.0454	    0.8565
  855	    0.0023	   15.3594	    0.0448	   -0.4510	    0.0449	   -0.3191	    0.0449	   -0.3191
  860	    0.0023	   13.3604	    0.0443	    0.6332	    0.0443	    0.7651	    0.0443	    0.7651
  865	    0.0022	   11.4073	    0.0438	   -0.5247	    0.0438	   -0.3959	    0.0438	   -0.3959
  870	    0.0022	    9.4988	    0.0433	    0.6241	    0.0433	    0.7529	    0.0433	    0.7529
  875	    0.0022	    7.6336	    0.0428	   -0.5205	    0.0428	   -0.3947	    0.0428	   -0.3947
  880	    0.0021	    5.8105	    0.0423	    0.6960	    0.0423	    0.8219	    0.0423	    0.8219
  885	    0.0021	    4.0284	    0.0418	   -0.4367	    0.0419	   -0.3135	    0.0419	   -0.3135
  890	    0.0020	    2.2861	    0.0413	    0.8509	    0.0414	    0.9742	    0.0414	    0.9742
  895	    0.0020	    0.5824	    0.0409	   -0.2709	    0.0409	   -0.1503	    0.0409	   -0.1503
  900	    0.0020	   -1.0836	    0.0404	    1.0916	    0.0405	    1.2125	    0.0405	    1.2125
